Lieu;idmotspip;Type;SousType;Description;AnneeMSI;AnneeMAD;Status;FranceNuc;Andra;EDF;INSC;url;nbPhotos;the_geom;PlaceApproximative;Priority;RecNo;RecNoPere;UpdateTimestamp;longitude;latitude
Bugey 3;0;réacteur;900 MW;palier CPO;1978;NULL;Marche;rhone_bug_f.htm;;;69;;0;;1;100;194;9;2018-10-12 13:02:05;5.26653818802291;45.8072248013421
Bugey 2;0;réacteur;900 MW;palier CPO;1978;NULL;Marche;rhone_bug_f.htm;;;68;;0;;1;100;193;9;2018-10-12 13:02:05;5.26653818802291;45.8072248013421
EL4;0;réacteur;70 MW;prototype EL;1967;1985;Arrêt définitif;bret_brenn_f.htm;;;505;;0;;0;50;190;6;2018-10-12 13:02:05;-3.88059490969883;48.3523416661398
Chinon A1;0;réacteur;70 MW;UNGG;1963;1973;Arrêt définitif;cen_chinon_f.htm;;;499;;0;;1;100;143;7;2018-10-12 13:02:05;0.179644070275217;47.2272502583534
Bugey 1;0;réacteur;540 MW;UNGG;1972;1994;Arrêt définitif;rhone_bug_f.htm;;;67;;0;;1;20;192;9;2018-10-12 13:02:05;5.26653818802291;45.8072248013421
Saint Laurent des Eaux A1;0;réacteur;480 MW;UNGG;1969;1990;Arrêt définitif;cen_sain_f.htm;;;506;;0;;1;100;153;11;2018-10-12 13:02:05;1.5932425934032;47.719143895972
Chinon A3;0;réacteur;480 MW;UNGG;1966;1990;Arrêt définitif;cen_chinon_f.htm;;;501;;0;;1;100;145;7;2018-10-12 13:02:05;0.179644070275217;47.2272502583534
Saint Laurent des Eaux A2;0;réacteur;420 MW;UNGG;1971;1992;Arrêt définitif;cen_sain_f.htm;;;507;;0;;1;100;154;11;2018-10-12 13:02:05;1.5932425934032;47.719143895972
Chooz A;0;réacteur;300 MW;prototype;1966;1991;Arrêt définitif;;;;502;;0;;1;100;160;13;2018-10-12 13:02:05;4.7862924116337;50.0822545920945
Chinon A2;0;réacteur;210 MW;UNGG;1965;1985;Arrêt définitif;cen_chinon_f.htm;;;500;;0;;1;100;144;7;2018-10-12 13:02:05;0.179644070275217;47.2272502583534
Civaux 2;0;réacteur;1450 MW;palier N4;1999;NULL;Marche;;;;119;;0;;1;100;151;10;2018-10-12 13:02:05;0.667699870373724;46.4606295837955
Civaux 1;0;réacteur;1450 MW;palier N4;1997;NULL;Marche;;;;118;;0;;1;100;150;10;2018-10-12 13:02:05;0.667699870373724;46.4606295837955
Chooz B2;0;réacteur;1450 MW;palier N4;1997;NULL;Marche;;;;117;;0;;1;100;162;13;2018-10-12 13:02:05;4.7862924116337;50.0822545920945
Saint-Alban 2;0;réacteur;1300 MW;palier P4;1986;NULL;Marche;;;;101;;0;;1;100;164;14;2018-10-12 13:02:05;4.75007719530291;45.4024100171543
Chooz B1;0;réacteur;1450 MW;palier N4;1996;NULL;Marche;;;;116;;0;;1;100;161;13;2018-10-12 13:02:05;4.7862924116337;50.0822545920945
Saint-Alban 1;0;réacteur;1300 MW;palier P4;1985;NULL;Marche;;;;100;;0;;1;100;163;14;2018-10-12 13:02:05;4.75007719530291;45.4024100171543
Penly 2;0;réacteur;1300 MW;palier Génération III;1992;NULL;Marche;;;;113;;0;;1;100;184;20;2018-10-12 13:02:05;1.16487261680204;49.9873585361577
Penly 1;0;réacteur;1300 MW;palier P'4;1990;NULL;Marche;;;;112;;0;;1;100;183;20;2018-10-12 13:02:05;1.16487261680204;49.9873585361577
Paluel 4;0;réacteur;1300 MW;palier P4;1986;NULL;Marche;;;;95;;0;;1;100;174;17;2018-10-12 13:02:05;0.631919182566307;49.8690826872633
Paluel 3;0;réacteur;1300 MW;palier P4;1985;NULL;Marche;;;;94;;0;;1;100;173;17;2018-10-12 13:02:05;0.631919182566307;49.8690826872633
Paluel 2;0;réacteur;1300 MW;palier P4;1984;NULL;Marche;;;;93;;0;;1;100;172;17;2018-10-12 13:02:05;0.631919182566307;49.8690826872633
Nogent 2;0;réacteur;1300 MW;palier P'4;1988;NULL;Marche;;;;111;;0;;1;100;187;21;2018-10-12 13:02:05;3.52143396227238;48.5231847484729
Paluel 1;0;réacteur;1300 MW;palier P4;1984;NULL;Marche;;;;92;;0;;1;100;171;17;2018-10-12 13:02:05;0.631919182566307;49.8690826872633
Nogent 1;0;réacteur;1300 MW;palier P'4;1987;NULL;Marche;;;;110;;0;;1;100;186;21;2018-10-12 13:02:05;3.52143396227238;48.5231847484729
Golfech 2;0;réacteur;1300 MW;palier P'4;1993;NULL;Marche;;;;115;;0;;1;100;166;15;2018-10-12 13:02:05;0.839084099704749;44.1012875533318
Golfech 1;0;réacteur;1300 MW;palier P'4;1990;NULL;Marche;;;;114;;0;;1;100;165;15;2018-10-12 13:02:05;0.839084099704749;44.1012875533318
Flamanville 2;0;réacteur;1300 MW;palier P4;1986;NULL;Marche;;;;103;;0;;1;100;158;12;2018-10-12 13:02:05;-1.88326643549198;49.5480120274562
Flamanville 1;0;réacteur;1300 MW;palier P4;1985;NULL;Marche;;;;102;;0;;1;100;157;12;2018-10-12 13:02:05;-1.88326643549198;49.5480120274562
Cattenom 4;0;réacteur;1300 MW;palier P'4;1991;NULL;Marche;;;;107;;0;;1;100;142;5;2018-10-12 13:02:05;6.20986750900349;49.4021312531677
Cattenom 3;0;réacteur;1300 MW;palier P'4;1990;NULL;Marche;;;;106;;0;;1;100;141;5;2018-10-12 13:02:05;6.20986750900349;49.4021312531677
Cattenom 1;0;réacteur;1300 MW;palier P'4;1986;NULL;Marche;;;;104;;0;;1;100;139;5;2018-10-12 13:02:05;6.20986750900349;49.4021312531677
Cattenom 2;0;réacteur;1300 MW;palier P'4;1987;NULL;Marche;;;;105;;0;;1;100;140;5;2018-10-12 13:02:05;6.20986750900349;49.4021312531677
Belleville 2;0;réacteur;1300 MW;palier P4;1988;NULL;Marche;;;;109;;0;;1;100;126;1;2018-10-12 13:02:05;2.86895170479602;47.5166515694487
Belleville 1;0;réacteur;1300 MW;palier P4;1987;NULL;Marche;;;;108;;0;;1;100;125;1;2018-10-12 13:02:05;2.86895170479602;47.5166515694487
Bugey 4;0;réacteur;900 MW;palier CPO;1979;NULL;Marche;rhone_bug_f.htm;;;70;;0;;1;100;195;9;2018-10-12 13:02:05;5.26653818802291;45.8072248013421
Bugey 5;0;réacteur;900 MW;palier CPO;1979;NULL;Marche;rhone_bug_f.htm;;;71;;0;;1;100;196;9;2018-10-12 13:02:05;5.26653818802291;45.8072248013421
Chinon B1;0;réacteur;900 MW;palier CP1;1982;NULL;Marche;cen_chinon_f.htm;;;61;;0;;1;100;146;7;2018-10-12 13:02:05;0.179644070275217;47.2272502583534
Chinon B2;0;réacteur;900 MW;palier CP1;1983;NULL;Marche;cen_chinon_f.htm;;;62;;0;;1;100;147;7;2018-10-12 13:02:05;0.179644070275217;47.2272502583534
Chinon B3;0;réacteur;900 MW;palier CP1;1986;NULL;Marche;cen_chinon_f.htm;;;63;;0;;1;100;148;7;2018-10-12 13:02:05;0.179644070275217;47.2272502583534
Chinon B4;0;réacteur;900 MW;palier CP1;1987;NULL;Marche;cen_chinon_f.htm;;;64;;0;;1;100;149;7;2018-10-12 13:02:05;0.179644070275217;47.2272502583534
Cruas-Meysse;0;réacteur;900 MW;palier CP2;1983;NULL;Marche;;;;96;;0;;1;100;167;16;2018-10-12 13:02:05;4.7516943051636;44.6214395114098
Cruas-Meysse;0;réacteur;900 MW;palier CP2;1984;NULL;Marche;;;;97;;0;;1;100;168;16;2018-10-12 13:02:05;4.7516943051636;44.6214395114098
Cruas-Meysse;0;réacteur;900 MW;palier CP2;1984;NULL;Marche;;;;98;;0;;1;100;169;16;2018-10-12 13:02:05;4.7516943051636;44.6214395114098
Cruas-Meysse;0;réacteur;900 MW;palier CP2;1984;NULL;Marche;;;;99;;0;;1;100;170;16;2018-10-12 13:02:05;4.7516943051636;44.6214395114098
Dampierre 1;0;réacteur;900 MW;palier CP1;1980;NULL;Marche;;;;74;;0;;1;100;127;1;2018-10-12 13:02:05;2.49997396805297;47.7250387096602
Dampierre 2;0;réacteur;900 MW;palier CP1;1980;NULL;Marche;;;;75;;0;;1;100;128;1;2018-10-12 13:02:05;2.49997396805297;47.7250387096602
Dampierre 3;0;réacteur;900 MW;palier CP1;1981;NULL;Marche;;;;76;;0;;1;100;129;1;2018-10-12 13:02:05;2.49997396805297;47.7250387096602
Dampierre 4;0;réacteur;900 MW;palier CP1;1981;NULL;Marche;;;;77;;0;;1;100;130;1;2018-10-12 13:02:05;2.49997396805297;47.7250387096602
Fessenheim 1;0;réacteur;900 MW;palier CPO;1977;NULL;Marche;;;;72;;0;;1;100;181;19;2018-10-12 13:02:05;7.55997084102097;47.9086430613095
Fessenheim 2;0;réacteur;900 MW;palier CPO;1977;NULL;Marche;;;;73;;0;;1;100;182;19;2018-10-12 13:02:05;7.55997084102097;47.9086430613095
Gravelines B1;0;réacteur;900 MW;palier CP1;1980;NULL;Marche;;;;78;;0;;1;100;175;18;2018-10-12 13:02:05;2.12050875780145;51.0238094759591
Gravelines B2;0;réacteur;900 MW;palier CP1;1980;NULL;Marche;;;;79;;0;;1;100;176;18;2018-10-12 13:02:05;2.12050875780145;51.0238094759591
Gravelines B3;0;réacteur;900 MW;palier CP1;1980;NULL;Marche;;;;80;;0;;1;100;177;18;2018-10-12 13:02:05;2.12050875780145;51.0238094759591
Gravelines B4;0;réacteur;900 MW;palier CP1;1981;NULL;Marche;;;;81;;0;;1;100;178;18;2018-10-12 13:02:05;2.12050875780145;51.0238094759591
Gravelines C5;0;réacteur;900 MW;palier CP1;1984;NULL;Marche;;;;82;;0;;1;100;179;18;2018-10-12 13:02:05;2.12050875780145;51.0238094759591
Gravelines C6;0;réacteur;900 MW;palier CP1;1985;NULL;Marche;;;;83;;0;;1;100;180;18;2018-10-12 13:02:05;2.12050875780145;51.0238094759591
Le Blayais 1;0;réacteur;900 MW;palier CP1;1981;NULL;Marche;;;;88;;0;;1;100;131;3;2018-10-12 13:02:05;-0.690812850465903;45.262563241595
Le Blayais 2;0;réacteur;900 MW;palier CP1;1982;NULL;Marche;;;;89;;0;;1;100;132;3;2018-10-12 13:02:05;-0.690812850465903;45.262563241595
Le Blayais 3;0;réacteur;900 MW;palier CP1;1983;NULL;Marche;;;;90;;0;;1;100;133;3;2018-10-12 13:02:05;-0.690812850465903;45.262563241595
Le Blayais 4;0;réacteur;900 MW;palier CP1;1983;NULL;Marche;;;;91;;0;;1;100;134;3;2018-10-12 13:02:05;-0.690812850465903;45.262563241595
Saint Laurent des Eaux B1;0;réacteur;900 MW;palier CP2;1981;NULL;Marche;cen_sain_f.htm;;;65;;0;;1;100;155;11;2018-10-12 13:02:05;1.5932425934032;47.719143895972
Saint Laurent des Eaux B2;0;réacteur;900 MW;palier CP2;1981;NULL;Marche;cen_sain_f.htm;;;66;;0;;1;100;156;11;2018-10-12 13:02:05;1.5932425934032;47.719143895972
Tricastin 1;0;réacteur;900 MW;palier CP1;1980;NULL;Marche;rhone_tri_f7.htm;;;84;;0;;1;100;135;4;2018-10-12 13:02:05;4.73572106079152;44.3313384265488
Tricastin 2;0;réacteur;900 MW;palier CP1;1980;NULL;Marche;rhone_tri_f7.htm;;;85;;0;;1;100;136;4;2018-10-12 13:02:05;4.73572106079152;44.3313384265488
Tricastin 3;0;réacteur;900 MW;palier CP1;1980;NULL;Marche;rhone_tri_f7.htm;;;86;;0;;1;100;137;4;2018-10-12 13:02:05;4.73572106079152;44.3313384265488
Tricastin 4;0;réacteur;900 MW;palier CP1;1981;NULL;Marche;rhone_tri_f7.htm;;;87;;0;;1;100;138;4;2018-10-12 13:02:05;4.73572106079152;44.3313384265488
Flamanville 3;0;réacteur;EPR;palier EPR;NULL;NULL;Construction;;;;;;0;;1;100;159;12;2018-10-12 13:02:05;-1.88326643549198;49.5480120274562
Penly 3;0;réacteur;EPR;palier EPR;NULL;NULL;Projet;;;;;;0;;1;100;185;20;2018-10-12 13:02:05;1.16487261680204;49.9873585361577
Superphénix;0;réacteur;SPX;production d'électricité et de plutonium;NULL;NULL;Arrêt définitif;rhone_crey_f.htm;;;60;;0;;0;60;191;8;2018-10-12 13:02:05;5.46391187215265;45.7655224601807
